                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64725,                0.66145,                 1.1326,                 0.9427,                0.88656,                0.95604,                0.84079,                0.47042,                 3.7792,                0.93166,               0.009307,               0.009307,               0.009307
                     37,                0.63858,                0.66425,                  1.129,                0.94506,                0.87784,                0.95359,                0.83753,                0.46544,                 2.9506,                0.92556,              0.0092872,              0.0092872,              0.0092872
                     38,                 0.6312,                0.65034,                 1.1203,                0.95105,                0.88455,                0.95085,                0.84714,                0.45855,                 2.0909,                0.93185,              0.0092674,              0.0092674,              0.0092674
                     39,                0.63593,                0.65212,                  1.123,                  0.944,                0.90235,                0.95991,                 0.8525,                0.47142,                 3.5793,                0.94021,              0.0092476,              0.0092476,              0.0092476
                     40,                0.63424,                0.63168,                 1.1174,                0.94585,                 0.8899,                0.95634,                0.85327,                0.44968,                 3.6246,                0.91535,              0.0092278,              0.0092278,              0.0092278
                     41,                0.64114,                0.65097,                 1.1255,                0.93427,                0.87953,                 0.9571,                0.85172,                0.44518,                 3.1438,                0.90521,               0.009208,               0.009208,               0.009208
                     42,                0.63054,                0.63305,                 1.1193,                0.96981,                0.89846,                0.96245,                0.85843,                0.45045,                 2.0601,                0.90629,              0.0091882,              0.0091882,              0.0091882
                     43,                0.61862,                0.62469,                 1.1062,                0.92995,                0.90313,                0.95597,                0.84933,                0.46099,                 2.8647,                0.91827,              0.0091684,              0.0091684,              0.0091684
                     44,                0.61729,                0.62283,                 1.1145,                0.93968,                0.90991,                 0.9588,                0.85707,                0.43962,                 2.5754,                0.90802,              0.0091486,              0.0091486,              0.0091486
                     45,                0.61956,                0.61668,                 1.1149,                0.94076,                0.90331,                0.96378,                0.86198,                0.43912,                 2.4572,                0.90126,              0.0091288,              0.0091288,              0.0091288
                     46,                0.62573,                0.62417,                 1.1105,                0.93662,                 0.8987,                0.96053,                0.85955,                0.43391,                 4.7604,                 0.9024,               0.009109,               0.009109,               0.009109
                     47,                0.61396,                0.59893,                 1.1115,                0.96299,                0.90474,                0.96393,                0.86156,                0.43805,                 1.9135,                0.90322,              0.0090892,              0.0090892,              0.0090892
                     48,                0.61725,                0.61092,                 1.1086,                 0.9608,                0.89423,                0.96003,                0.85243,                0.44881,                 3.0804,                0.91688,              0.0090694,              0.0090694,              0.0090694
                     49,                0.60719,                0.61274,                 1.1071,                0.93979,                0.91264,                0.96307,                0.86056,                0.43274,                 5.3754,                0.90838,              0.0090496,              0.0090496,              0.0090496
                     50,                0.60766,                0.60997,                 1.1092,                0.95487,                0.90464,                 0.9652,                0.86369,                0.43749,                 1.4131,                0.90549,              0.0090298,              0.0090298,              0.0090298
                     51,                0.61581,                 0.6103,                  1.111,                 0.9532,                0.90096,                0.95984,                0.85527,                0.45127,                 4.8201,                0.92026,                0.00901,                0.00901,                0.00901
                     52,                0.59661,                0.59087,                  1.099,                0.95684,                0.90736,                0.96791,                0.87067,                0.42335,                 2.1853,                0.89289,              0.0089902,              0.0089902,              0.0089902
                     53,                0.60789,                0.58872,                 1.0996,                0.96591,                0.89299,                0.96141,                0.86115,                0.43314,                 3.1488,                0.90335,              0.0089704,              0.0089704,              0.0089704
                     54,                0.60024,                0.59571,                  1.101,                0.96282,                0.90591,                0.96689,                0.86207,                0.45227,                 2.5784,                0.93751,              0.0089506,              0.0089506,              0.0089506
                     55,                0.59217,                0.58281,                 1.0944,                 0.9532,                0.91144,                 0.9638,                0.86047,                0.44169,                 2.1925,                0.91339,              0.0089308,              0.0089308,              0.0089308
                     56,                0.59753,                0.58147,                 1.0998,                0.95771,                0.91238,                0.96752,                0.86517,                0.45741,                 2.4817,                0.93054,               0.008911,               0.008911,               0.008911
                     57,                0.59307,                0.59093,                  1.094,                0.96481,                0.91021,                0.96559,                0.86624,                0.42229,                 2.9879,                 0.8907,              0.0088912,              0.0088912,              0.0088912
                     58,                0.59775,                0.57789,                 1.1036,                0.96292,                0.88548,                0.95488,                0.85764,                0.42966,                0.90763,                  0.901,              0.0088714,              0.0088714,              0.0088714
                     59,                0.58476,                0.56042,                 1.0938,                0.95449,                0.91196,                0.96453,                0.86476,                0.44088,                 2.6952,                0.91259,              0.0088516,              0.0088516,              0.0088516
                     60,                0.57751,                0.56104,                 1.0889,                0.94906,                0.91686,                0.96979,                0.87175,                0.42618,                 2.4479,                0.89889,              0.0088318,              0.0088318,              0.0088318
